嘉兴 13443315.62,3578394.42;13443315.62,3578394.42 13 334
金华 13319970.32,3365439.56;13319970.32,3365439.56 12 333
丽水 13350636.44,3288181.06;13350636.44,3288181.06 13 292
宁波 13531775.58,3466675.15;13531775.58,3466675.15 12 180
衢州 13233890.59,3347356.77;13233890.59,3347356.77 12 243
绍兴 13423793.15,3486661.08;13423793.15,3486661.08 13 293
台州 13517338.48,3312052.08;13517338.48,3312052.08 13 244
温州 13437062.10,3228868.44;13437062.10,3228868.44 12 178
舟山 13604985.98,3480850.71;13604985.98,3480850.71 12 245
香港 12711279.50,2530455.45;12711279.50,2530455.45 12 2912
澳门 12641302.75,2519757.10;12641302.75,2519757.10 13 2911
安庆 13032328.73,3552346.35;13032328.73,3552346.35 13 130
亳州 12889352.87,3984760.83;12889352.87,3984760.83 13 188
六安 12972162.58,3706704.58;12972162.58,3706704.58 13 298
马鞍山 13192915.97,3698254.43;13192915.97,3698254.43 13 358
宿州 13021233.10,3958276.93;13021233.10,3958276.93 13 370
铜陵 13115670.97,3604196.83;13115670.97,3604196.83 14 337
宣城 13221024.95,3603638.53;13221024.95,3603638.53 13 190
南平 13156359.21,3060182.27;13156359.21,3060182.27 13 133
宁德 13308913.30,3063166.32;13308913.30,3063166.32 14 192
三明 13096406.59,3013437.65;13096406.59,3013437.65 14 254
漳州 13097306.62,2798910.77;13097306.62,2798910.77 12 255
定西 11647670.12,4218892.85;11647670.12,4218892.85 13 136
嘉峪关 10942437.00,4806177.73;10942437.00,4806177.73 13 33
金昌 11376329.71,4627105.84;11376329.71,4627105.84 13 34
酒泉 10965136.67,4800458.77;10965136.67,4800458.77 13 37
陇南 11680684.61,3925685.58;11680684.61,3925685.58 14 256
平凉 11874773.11,4213703.64;11874773.11,4213703.64 13 359
庆阳 11983596.18,4236451.14;11983596.18,4236451.14 13 135
天水 11770079.92,4083438.67;11770079.92,4083438.67 13 196
河源 12769274.62,2705589.22;12769274.62,2705589.22 12 200
惠州 12737687.42,2629176.06;12737687.42,2629176.06 12 301
揭阳 12955416.43,2682139.69;12955416.43,2682139.69 13 259
茂名 12349002.86,2455917.94;12349002.86,2455917.94 13 139
汕尾 12844371.04,2590100.98;12844371.04,2590100.98 14 339
韶关 12646449.94,2835086.87;12646449.94,2835086.87 13 137
阳江 12466699.79,2479199.48;12466699.79,2479199.48 14 199
云浮 12473600.95,2605695.21;12473600.95,2605695.21 13 258
北海 12148051.24,2434246.89;12148051.24,2434246.89 13 295
崇左 11952656.17,2541377.42;11952656.17,2541377.42 14 144
防城港 12062837.96,2458822.38;12062837.96,2458822.38 15 204
桂林 12278277.31,2891750.50;12278277.31,2891750.50 12 142
贵港 12201211.44,2629479.32;12201211.44,2629479.32 13 341
贺州 12420393.37,2785558.28;12420393.37,2785558.28 14 260
来宾 12159431.65,2706604.65;12159431.65,2706604.65 14 202
柳州 12180931.66,2776093.62;12180931.66,2776093.62 12 305
钦州 12096206.54,2493631.35;12096206.54,2493631.35 13 145
梧州 12388396.37,2673339.57;12388396.37,2673339.57 13 304
黔西南州 11678750.33,2869250.68;11678750.33,2869250.68 11 343
黔东南州 12021589.68,3053023.60;12021589.68,3053023.60 11 342
儋州 12199317.92,2202680.69;12199317.92,2202680.69 13 1215
东方 12096134.08,2152821.17;12096134.08,2152821.17 13 2634
定安 12286001.97,2221469.22;12286001.97,2221469.22 13 1214
琼海 12298842.88,2171835.98;12298842.88,2171835.98 13 2358
临高 12211570.64,2248715.79;12211570.64,2248715.79 13 2033
万宁 12289381.08,2117697.62;12289381.08,2117697.62 13 1216
文昌 12334806.67,2205272.60;12334806.67,2205272.60 13 2758
五指山 12192232.96,2115283.15;12192232.96,2115283.15 13 1644
沧州 13007297.74,4596606.70;13007297.74,4596606.70 13 149
廊坊 12990050.62,4772368.93;12990050.62,4772368.93 13 191
开封 12725504.05,4112520.03;12725504.05,4112520.03 13 210
商丘 12875663.83,4061012.59;12875663.83,4061012.59 13 154
新乡 12683140.43,4181023.18;12683140.43,4181023.18 13 152
信阳 12701610.16,3760486.61;12701610.16,3760486.61 13 214
许昌 12674841.94,4010267.02;12674841.94,4010267.02 13 155
驻马店 12693840.12,3874135.57;12693840.12,3874135.57 13 269
鹤岗 14505564.36,5968654.43;14505564.36,5968654.43 13 43
黑河 14197287.25,6456725.47;14197287.25,6456725.47 14 39
鸡西 14580358.15,5638357.67;14580358.15,5638357.67 13 46
七台河 14584082.61,5713695.74;14584082.61,5713695.74 14 47
伊春 14343342.92,6030682.67;14343342.92,6030682.67 14 40
鄂州 12790922.02,3532803.47;12790922.02,3532803.47 14 122
恩施 12188027.99,3520529.34;12188027.99,3520529.34 14 2236
黄石 12806938.39,3508277.50;12806938.39,3508277.50 13 311
荆州 12495439.29,3525625.36;12495439.29,3525625.36 12 157
潜江 12568749.94,3534230.23;12568749.94,3534230.23 13 1293
十堰 12334839.13,3823706.01;12334839.13,3823706.01 13 216
随州 12622551.03,3700859.50;12622551.03,3700859.50 13 371
天门 12598447.64,3567933.36;12598447.64,3567933.36 13 2654
仙桃 12630568.17,3529165.12;12630568.17,3529165.12 13 1713
咸宁 12727180.88,3462453.84;12727180.88,3462453.84 13 362
襄阳 12482288.95,3742391.44;12482288.95,3742391.44 12 156
宜昌 12389211.61,3571525.49;12389211.61,3571525.49 13 270
常德 12435078.36,3359518.80;12435078.36,3359518.80 12 219
衡阳 12532306.19,3091415.96;12532306.19,3091415.96 13 159
